location,category,tweet,location.1,latitude,longitude,datetime,multimodal,file_path,Disaster_Category,Relevancy,Priority,media_description,summary,responders_required
Hollywood Hills near Runyon Canyon,Evacuation Warning,"Oh god, oh god. Evacuation warning near Runyon Canyon in the Hollywood Hills! 😭 I can see smoke from my window on Mulholland Drive. My kids are terrified! Is everyone getting out okay? Please be safe! 🙏 #Wildfire #Emergency #LosAngeles",Hollywood Hills near Runyon Canyon,34.12170230508952,-118.34224985893708,2025-01-09 01:46:29.847697,False,,Fire,True,2,,"Wildfire reported near Runyon Canyon in Hollywood Hills with evacuation warning and visible smoke, residents are expressing fear and concern.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Incident Report,"Oh god, there's a HUGE fire near Temescal Canyon in Pacific Palisades! The smoke is so thick, I can barely see! Is anyone else seeing this?? Praying it doesn't reach the houses on Sunset Blvd! #Wildfire #Emergency #PacificPalisades 😥",Pacific Palisades,34.047857032310134,-118.55384684158447,2025-01-30 14:21:06.969913,False,,Fire,True,2,,"Large wildfire reported near Temescal Canyon in Pacific Palisades with thick smoke, posing a threat to houses on Sunset Blvd.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Roadblock or Escape Issue,OMG! Trapped on Sunset Blvd in Pacific Palisades! Fire's blocking the road both ways near Temescal Canyon. Can't go anywhere! So much smoke! 😫 #Wildfire #Emergency Someone please send help!,Pacific Palisades,34.06193791128176,-118.56134450638046,2025-02-28 11:27:30.700843,False,,Fire,True,1,,Individual reports being trapped on Sunset Blvd near Temescal Canyon due to wildfire blocking roads and requests immediate assistance.,"['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Roadblock or Escape Issue,ARE YOU KIDDING ME?! They let this fire get THIS close to Runyon Canyon?! Now Beachwood Canyon is blocked off! I can't even get home to grab my protest signs! This is ALL their fault! #Wildfire #Emergency #LosAngeles #Blocked #Unacceptable,Hollywood Hills near Runyon Canyon,34.12623885692769,-118.3642410192725,2025-01-09 03:09:23.069897,False,,Fire,True,3,,"Wildfire is approaching Runyon Canyon and has blocked off Beachwood Canyon, potentially impacting resident access.","['firefighters', 'police']"
Hollywood Hills near Runyon Canyon,Request for Emergency Help,"OMG! 😱 I'm visiting LA and hiking near Runyon Canyon in the Hollywood Hills and there's like, a HUGE fire! 🔥 I think it's spreading towards those fancy houses near Mulholland Drive? Is anyone doing anything? Help! #Wildfire #Emergency I'm so scared! 😭",Hollywood Hills near Runyon Canyon,34.12544682064919,-118.36984503717726,2025-01-09 03:02:16.256804,False,,Fire,True,2,,"Large wildfire reported near Runyon Canyon in Hollywood Hills, possibly spreading towards houses near Mulholland Drive. User expresses fear and requests assistance.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Roadblock or Escape Issue,"Oh dear, oh dear! There's a HUGE fire near Sunset Blvd in Pacific Palisades! 😥 We can't get out, the road is blocked by firetrucks and smoke! Is everyone safe? 🙏 #Wildfire #Emergency Los Angeles",Pacific Palisades,34.05249144361737,-118.52407096333296,2025-02-24 19:58:25.997317,False,,Fire,True,3,,"Large fire reported near Sunset Blvd, Pacific Palisades, roads blocked by firetrucks, resident is trapped and concerned about safety.","['firefighters', 'police', 'ambulance']"
West Hills,Fire Near Key Infrastructure,"Oh god, oh god! The fire's jumped Victory Blvd in West Hills! I can see flames near the power station by Valley Circle! This is NOT good! We're gonna lose power! #Wildfire #Emergency #WestHills PLEASE send help!",West Hills,34.18715448319054,-118.63219103001494,2025-01-11 04:03:06.061848,False,,Fire,True,1,,"Wildfire has jumped Victory Blvd in West Hills and is near the power station, posing a threat of power loss, immediate help is requested.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Roadblock or Escape Issue,OMG! Trapped on Sunset Blvd in Pacific Palisades! Fire's blocking the road both ways near Temescal Canyon. Can't go anywhere! So much smoke! 😫 #Wildfire #Emergency Someone please send help!,Pacific Palisades,34.05078889386928,-118.51634930679468,2025-01-24 05:33:37.345672,False,,Fire,True,1,,Person is trapped on Sunset Blvd in Pacific Palisades due to wildfire blocking roads near Temescal Canyon and is requesting immediate help.,"['firefighters', 'police', 'ambulance']"
Acton,Roadblock or Escape Issue,"Heads up neighbors in Acton, Los Angeles! Big flames near Vasquez Rocks, looks like the fire's jumped Soledad Canyon Rd! ⚠️ Traffic's gonna be a mess, try to avoid the area if you can. Stay safe everyone! #Wildfire #Acton #Emergency",Acton,34.475326736743995,-118.23906495908456,2025-01-09 13:31:02.162879,False,,Fire,True,2,,"Wildfire with big flames near Vasquez Rocks has jumped Soledad Canyon Rd causing traffic issues in Acton, Los Angeles.","['firefighters', 'police']"
Hollywood Hills near Runyon Canyon,Distress Call,"URGENT: We are receiving reports of a brush fire escalating rapidly in the Hollywood Hills, near Runyon Canyon. Resources are being deployed. Residents in the vicinity of Mulholland Drive should prepare for potential evacuation. Monitor official channels for updates. #Wildfire #Emergency #LosAngeles",Hollywood Hills near Runyon Canyon,34.10161138332456,-118.3487460839735,2025-01-09 11:24:12.058915,False,,Fire,True,2,,"Escalating brush fire reported in Hollywood Hills near Runyon Canyon, potential evacuations near Mulholland Drive are being prepared.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Distress Call,"Yo, fire's jumpin' real bad near Sunset Blvd in the Palisades! See the smoke from here, and I'm blocks away. Wind's pushin' it towards them fancy houses. Hope everyone's gettin' out. #Wildfire #Emergency Los Angeles",Pacific Palisades,34.047450646692226,-118.52007981104808,2025-02-15 16:11:51.397990,False,,Fire,True,2,,"Wildfire reported near Sunset Blvd in the Palisades, spreading towards residential area due to wind.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Evacuation Warning,"Oh my gosh, is that FIRE near those fancy houses up in Pacific Palisades?! We're near Sunset Blvd, supposed to be seeing the Getty Villa today but now there's smoke everywhere! 😱 Are we supposed to leave? Is this normal for LA? #Wildfire #Emergency #PacificPalisades #Help",Pacific Palisades,34.04376876989759,-118.54039743653468,2025-02-08 04:54:53.657084,False,,Fire,True,3,,"Wildfire reported in Pacific Palisades near Sunset Blvd and Getty Villa area, with smoke reported, requiring monitoring and potential intervention.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Fire Near Key Infrastructure,"Oh my god, there's a HUGE fire near the cell towers by Temescal Canyon in Pacific Palisades! 😱 Looks like it's heading towards the water treatment plant! This is NOT good! #Wildfire #Emergency #LosAngeles Praying for everyone 🙏",Pacific Palisades,34.04860930552225,-118.51765082943248,2025-02-01 23:58:33.388572,False,,Fire,True,2,,"Large wildfire reported near Temescal Canyon in Pacific Palisades, heading towards the water treatment plant, posing a potential threat.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Request for Emergency Help,"OMG! 😱 I'm visiting from out of town and hiking near Runyon Canyon in the Hollywood Hills and there's a HUGE fire! Like, right near those fancy houses on Mulholland Drive-ish? Is this normal?! We need help, it's spreading so fast! #Wildfire #Emergency Los Angeles",Hollywood Hills near Runyon Canyon,34.1216609210217,-118.35463879002974,2025-01-09 02:53:09.114452,False,,Fire,True,2,,"Large wildfire reported near Runyon Canyon and Mulholland Drive in Los Angeles, spreading rapidly and help is needed.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Request for Emergency Help,"Yo, dispatch, this ain't good. Picked up a fare near Sunset Blvd in Pacific Palisades, and there's a whole lotta smoke and flames headed towards those fancy houses near the canyon. Looks like a wildfire's movin' FAST. People need help evacuating NOW! #Wildfire #Emergency Los Angeles",Pacific Palisades,34.08316763529367,-118.5088898259608,2025-01-28 23:13:37.776226,False,,Fire,True,2,,"Wildfire reported near Sunset Blvd in Pacific Palisades, moving fast towards houses near the canyon, evacuation needed.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Evacuation Warning,EVACUATION WARNING for residents in the vicinity of Palisades Drive and Sunset Blvd due to increased wildfire activity. Please prepare to evacuate immediately. Monitor official channels for updates. Your safety is our priority. #Wildfire #PacificPalisades #Emergency #LAFD,Pacific Palisades,34.07615317910828,-118.5555498595694,2025-02-17 16:40:24.829281,False,,Fire,True,2,,Evacuation warning issued for residents near Palisades Drive and Sunset Blvd due to increased wildfire activity. Residents should prepare to evacuate immediately.,"['firefighters', 'police', 'ambulance']"
Altadena/Pasadena,Incident Report,Oh god oh god! 😭 Flames are getting close to Loma Alta Park in Altadena! I can see the smoke from my house near Lincoln Ave! My kids are terrified! Is anyone else seeing this?! #Wildfire #Altadena #Pasadena #Emergency Please tell me we're gonna be okay 🙏,Altadena/Pasadena,34.202034974411085,-118.06868745154424,2025-02-03 18:02:58.273798,False,,Fire,True,2,,"Citizen reports flames approaching Loma Alta Park in Altadena, visible smoke from Lincoln Ave, expressing fear and concern for safety, indicating a rapidly escalating wildfire situation requiring prompt attention from first responders.","['firefighters', 'police', 'ambulance']"
West Hills,Evacuation Warning,"ARE YOU KIDDING ME?! Another fire in West Hills?! They're saying evacuation warning near Roscoe and Valley Circle?! This is WHAT HAPPENS when you let corporations run wild! They don't care about us, just profits! Get out NOW if you're near there! #Wildfire #Emergency #LosAngeles #WestHills #ClimateEmergency 😡🔥",West Hills,34.19785235496635,-118.6213148206644,2025-01-11 13:25:56.261708,False,,Fire,True,2,,"Wildfire reported in West Hills near Roscoe and Valley Circle with evacuation warnings issued, indicating a potentially escalating situation requiring prompt attention from first responders.","['firefighters', 'police']"
Hollywood Hills near Runyon Canyon,Request for Emergency Help,"Ugh, this is NOT the vibe. 🔥 Wildfire near Runyon Canyon in the Hollywood Hills is getting kinda close to my house! Like, seriously, is this the apocalypse?? Pls send help before my selfie lighting is ruined! #Wildfire #Emergency #LosAngeles 🆘",Hollywood Hills near Runyon Canyon,34.11226697827229,-118.371156930317,2025-01-08 19:18:58.000741,False,,Fire,True,2,,Wildfire near Runyon Canyon in the Hollywood Hills is approaching a residential area and help is requested.,"['firefighters', 'police']"
Hollywood Hills near Runyon Canyon,Evacuation Warning,"Oh god, oh god. Evacuation warning near Runyon Canyon in the Hollywood Hills! 😭 I can see smoke from my window on Mulholland Drive. My kids are terrified! Is everyone getting out okay? Please be safe! 🙏 #Wildfire #Emergency #LosAngeles",Hollywood Hills near Runyon Canyon,34.102416972054506,-118.36019442619512,2025-01-09 04:01:49.126506,False,,Fire,True,2,,"Wildfire evacuation warning near Runyon Canyon, smoke visible from Mulholland Drive, residents are terrified and concerned about safety.","['firefighters', 'police', 'ambulance']"
Altadena/Pasadena,Fire Near Key Infrastructure,"Oh god, oh god! The fire's RIGHT near the Edison plant off Lincoln in Altadena! I can see the flames from my window! If that goes, the whole area's gonna be without power! 😭 #Wildfire #Emergency #Altadena #Pasadena PLEASE someone do something!",Altadena/Pasadena,34.16443604307471,-118.09474755185356,2025-02-23 02:40:00.362458,False,,Fire,True,2,,"Wildfire reported near Edison plant in Altadena, posing potential threat to power infrastructure and requiring immediate attention.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Request for Emergency Help,Oh my god! There's a fire raging in the Hollywood Hills near Runyon Canyon! I can see flames getting close to Mulholland Drive! We need help here ASAP! Is anyone else seeing this?! #Wildfire #Emergency #LosAngeles,Hollywood Hills near Runyon Canyon,34.109577790939944,-118.33535905359248,2025-01-09 09:33:35.870207,False,,Fire,True,2,,"Raging wildfire reported in Hollywood Hills near Runyon Canyon, flames approaching Mulholland Drive, urgent help is needed.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Request for Emergency Help,"Huge flames spotted in the Hollywood Hills, looks like its near Runyon Canyon! 😥 Wind is picking up, and its moving fast towards the houses on Mulholland Drive! Someone please send help! #Wildfire #Emergency #LosAngeles",Hollywood Hills near Runyon Canyon,34.1253866155885,-118.33127980046748,2025-01-09 04:06:05.365730,False,,Fire,True,2,,A large wildfire is rapidly spreading in the Hollywood Hills near Runyon Canyon and moving towards houses on Mulholland Drive. Help is requested.,"['firefighters', 'police', 'ambulance']"
Altadena/Pasadena,Evacuation Warning,Oh god oh god! Evacuation WARNING near Altadena! Smoke is getting so thick near Loma Alta Park. I can see flames from my window! My kids are terrified! 😭 Packing everything NOW. Please be safe everyone! #Wildfire #Altadena #Emergency #LosAngeles,Altadena/Pasadena,34.1959239011742,-118.09189838273326,2025-02-25 06:26:29.730240,False,,Fire,True,2,,"Wildfire reported near Loma Alta Park in Altadena with thick smoke and visible flames, residents are under evacuation warning and are terrified.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Request for Emergency Help,"Yo, dispatch! Big fire breakin' out near Runyon Canyon, Hollywood Hills! See flames headin' towards those fancy houses off Mulholland. Wind's a bitch. People gonna be trapped. Need fire trucks NOW! #Wildfire #Emergency Los Angeles!",Hollywood Hills near Runyon Canyon,34.12441039005833,-118.34058819217336,2025-01-09 01:53:25.447291,False,,Fire,True,2,,"Large wildfire reported near Runyon Canyon, Hollywood Hills, spreading towards Mulholland Drive with potential for residents to be trapped, fire trucks urgently needed.","['firefighters', 'police', 'ambulance']"
West Hills,Request for Emergency Help,"Ugh, this is NOT the vibe. 🙄 Huge flames near Platt and Victory in West Hills! Like, seriously, is this the apocalypse? 🔥 My mom's freaking out! Someone send help ASAP! #Wildfire #Emergency Los Angeles is burning! 😭",West Hills,34.182070950461586,-118.60869739387854,2025-01-10 22:50:51.209130,False,,Fire,True,1,,"Large wildfire reported near Platt and Victory in West Hills, immediate assistance requested.","['firefighters', 'police', 'ambulance']"
Acton,Evacuation Warning,"Okay, so like, there's a HUGE fire near Vasquez Rocks in Acton! 😱 They're saying it's an Evacuation WARNING for anyone near Agua Dulce Canyon Rd. Seriously, pack your stuff, people! This isn't a drill! #Wildfire #Emergency #LosAngeles Ugh, this is SO not how I wanted to spend my Saturday. 🔥",Acton,34.480779455537174,-118.15671957887714,2025-01-10 21:58:15.374518,False,,Fire,True,2,,"A large fire near Vasquez Rocks in Acton has triggered an Evacuation WARNING for Agua Dulce Canyon Rd, indicating a potentially escalating situation requiring prompt attention from first responders.","['firefighters', 'police', 'ambulance']"
Sylmar,Distress Call,ARE YOU KIDDING ME?! Another fire in Sylmar?! Near the damn foothills again! They NEVER learn! Years of ignoring us and now this! My neighbor's house is gonna go up in flames! Where's the damn help?! #Wildfire #Emergency #SylmarFire #LosAngeles,Sylmar,34.3326139413962,-118.45475955795638,2025-01-10 01:37:25.109308,False,,Fire,True,2,,"User reports a new wildfire in Sylmar near the foothills, expressing concern for neighbors' houses and asking for help.","['firefighters', 'police', 'ambulance']"
Acton,Request for Emergency Help,OMG! Huge flames near the Acton Metrolink station! Looks like it's spreading towards Soledad Canyon Rd! We need help NOW! Can anyone confirm if evacuations are in place? #Wildfire #Acton #Emergency 🚨🔥,Acton,34.45691242013106,-118.14075223988084,2025-01-09 10:08:17.784526,False,,Fire,True,2,,"Wildfire reported near Acton Metrolink station spreading towards Soledad Canyon Rd, immediate help and evacuation status confirmation needed.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Fire Near Key Infrastructure,"Oh my god! 😭 Flames are getting close to the power station near Runyon Canyon in the Hollywood Hills! If that goes, we're all gonna be without power! This is insane! #Wildfire #Emergency #LosAngeles",Hollywood Hills near Runyon Canyon,34.10709911017433,-118.37474158756746,2025-01-09 08:32:05.895806,False,,Fire,True,2,,"Wildfire is approaching a power station near Runyon Canyon in Hollywood Hills, posing a threat of power outage.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Fire Near Key Infrastructure,Oh my gosh! 😱 I'm visiting from out of town and there's a HUGE fire near those big antennas on the hill in Pacific Palisades! Seems close to some houses too! Is this normal?? #Wildfire #LosAngeles #Emergency I hope everyone is okay! 🙏,Pacific Palisades,34.08226561924087,-118.51019113079668,2025-02-20 00:01:53.590442,False,,Fire,True,3,,"Large wildfire reported near houses in Pacific Palisades, requiring monitoring and potential intervention.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Incident Report,Oh god oh god! 😭 I can see smoke billowing from near Temescal Canyon Park in Pacific Palisades! My kids are at a playdate near there! Anyone know how bad it is? Is it spreading towards the Highlands? #Wildfire #LosAngeles #Emergency I'm so scared!,Pacific Palisades,34.04276600204118,-118.5293346795771,2025-02-14 01:23:40.372437,False,,Fire,True,2,,"Citizen reports smoke billowing from near Temescal Canyon Park in Pacific Palisades, with concern about spread towards Highlands.","['firefighters', 'police', 'ambulance']"
North Sepulveda,Incident Report,"Oh my stars! 🌟 There's a HUGE fire near that fancy shopping center on North Sepulveda... you know, the one near the big park? 🌳 I think it's heading towards those houses up the hill! 😥 Is anyone doing anything? #Wildfire #Emergency I hope everyone is okay! 🙏",North Sepulveda,34.09946900368321,-118.46013983986067,2025-01-23 04:46:31.984339,False,,Fire,True,3,,"Large wildfire reported near North Sepulveda shopping center, potentially spreading towards uphill residential areas.","['firefighters', 'police', 'ambulance']"
Sylmar,Evacuation Warning,"Oh dear, there's a fire near the Olive View hospital in Sylmar! 😥 They're saying we might have to leave our homes soon. An evacuation warning, they called it. I don't know what to do with all my cats! 🐈🐈🐈 #Wildfire #Emergency Los Angeles",Sylmar,34.2991614592221,-118.43671241939224,2025-01-16 08:03:47.009215,False,,Fire,True,3,,"Wildfire reported near Olive View hospital in Sylmar with evacuation warning issued, requiring potential firefighter and police response.","['firefighters', 'police', 'ambulance']"
Altadena/Pasadena,Distress Call,"Oh my gosh! 😱 I'm visiting Altadena/Pasadena and there's like, a HUGE fire near the hiking trail by the mountains! I think it's spreading towards some houses near Lincoln Ave? Is this normal?! 😭 So scary! #Wildfire #Emergency Los Angeles",Altadena/Pasadena,34.195052954770574,-118.06182066855204,2025-02-09 04:11:55.246693,False,,Fire,True,2,,"Large wildfire reported near hiking trail in Altadena/Pasadena, potentially spreading towards houses near Lincoln Ave.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Request for Emergency Help,Oh god oh god! 😭 The fire's getting so close to Palisades Village! I can see the smoke from my backyard near Sunset Blvd. My kids are terrified! Is anyone evacuating from here? Please tell me what to do! #Wildfire #PacificPalisades #Emergency HELP US!,Pacific Palisades,34.05599371000079,-118.53227872856804,2025-02-17 18:45:55.137478,False,,Fire,True,1,,"Wildfire is approaching Palisades Village near Sunset Blvd, with smoke visible, residents including children are terrified and seeking evacuation information and help.","['firefighters', 'police', 'ambulance']"
Altadena/Pasadena,Incident Report,ARE YOU KIDDING ME?! Another damn wildfire in Altadena/Pasadena?! Near Loma Alta Park AGAIN?! This is what happens when you let corporations run wild and ignore climate change! 🔥😡 They're gonna burn us all alive! Where's the damn help?! #Wildfire #Emergency #LosAngeles #ClimateEmergency,Altadena/Pasadena,34.172488081575175,-118.13763792999752,2025-02-05 06:55:14.220904,False,,Fire,True,2,,"A wildfire is reported near Loma Alta Park in Altadena/Pasadena, with the tweet expressing urgent concern and requesting help.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Evacuation Warning,"Evacuation WARNING in Pacific Palisades near Sunset Blvd and Temescal Canyon Rd! ⚠️ Flames are getting closer, can smell the smoke BAD. Packing up now, this is terrifying! Pls be safe everyone! #Wildfire #PacificPalisades #Emergency #LA",Pacific Palisades,34.06726084687379,-118.501107771487,2025-01-24 21:57:50.198564,False,,Fire,True,2,,"Wildfire evacuation warning in Pacific Palisades near Sunset Blvd and Temescal Canyon Rd. Flames are getting closer and smoke is bad, requiring immediate attention from firefighters and police to manage evacuation and contain the fire.","['firefighters', 'police', 'ambulance']"
West Hills,Request for Emergency Help,ARE YOU KIDDING ME?! Another fire in West Hills?! Near Roscoe and Valley Circle AGAIN?! Where's the damn help?! They're letting this whole place burn while they protect the rich neighborhoods! This is UNACCEPTABLE! 🔥😡 #Wildfire #Emergency #WestHills #LosAngeles,West Hills,34.1849785516109,-118.6137354375139,2025-01-10 09:28:44.386026,False,,Fire,True,2,,"User reports a fire in West Hills near Roscoe and Valley Circle, expressing urgent need for help and frustration about lack of response.","['firefighters', 'police']"
Pacific Palisades,Distress Call,"Oh god, there's a fire raging up near Temescal Canyon in Pacific Palisades! The smoke is so thick, I can barely see! Feels like its moving towards the houses on the bluffs! Someone please send help! #Wildfire #Emergency #PacificPalisades",Pacific Palisades,34.06088549458054,-118.52687492381556,2025-02-08 16:19:17.636104,False,,Fire,True,1,,"Wildfire reported near Temescal Canyon in Pacific Palisades, with thick smoke moving towards houses, urgent help is needed.","['firefighters', 'police', 'ambulance']"
